Days elapsed,Bag,Treatment,E. huxleyi per mL,Extracellular EhVs per mL,#,Days elapsed,Bag,Treatment,Intracellular EhVs (relative MCP transcripts),#,Bag,Treatment,Days elapsed,EhV GSLs (relative units),Sytox (RFU),#
13,1,Redfield nutrients,149228,2578902,#,14.89380531,5,Redfield nutrients,4.541420118,#,1,Redfield nutrients,13,0,2.6,#
13.25,1,Redfield nutrients,129414,4193123,#,15.46902655,5,Redfield nutrients,4.926035503,#,1,Redfield nutrients,13.25,,,#
13.5,1,Redfield nutrients,128058,4638673,#,15.93362832,5,Redfield nutrients,4.644970414,#,1,Redfield nutrients,13.5,,,#
13.75,1,Redfield nutrients,123045,6105151,#,16.48672566,5,Redfield nutrients,4.49704142,#,1,Redfield nutrients,13.75,,,#
14,1,Redfield nutrients,95535,2935183,#,,,,,#,1,Redfield nutrients,14,0.2,4.9,#
14.25,1,Redfield nutrients,68680,6106633,#,,,,,#,1,Redfield nutrients,14.25,,,#
14.5,1,Redfield nutrients,79070,7076767,#,,,,,#,1,Redfield nutrients,14.5,,,#
14.75,1,Redfield nutrients,94158,10282546,#,,,,,#,1,Redfield nutrients,14.75,,,#
15,1,Redfield nutrients,104359,6550026,#,,,,,#,1,Redfield nutrients,15,0.4,10.32,#
15.25,1,Redfield nutrients,75366,13238966,#,,,,,#,1,Redfield nutrients,15.25,,,#
15.5,1,Redfield nutrients,66096,12160761,#,,,,,#,1,Redfield nutrients,15.5,,,#
15.75,1,Redfield nutrients,67435,13554426,#,,,,,#,1,Redfield nutrients,15.75,,,#
16,1,Redfield nutrients,64517,10425760,#,,,,,#,1,Redfield nutrients,16,,17.33,#
16.25,1,Redfield nutrients,50686,15671753,#,,,,,#,1,Redfield nutrients,16.25,,,#
16.5,1,Redfield nutrients,41377,16112945,#,,,,,#,1,Redfield nutrients,16.5,,,#
16.75,1,Redfield nutrients,26476,,#,,,,,#,1,Redfield nutrients,16.75,,,#
17,1,Redfield nutrients,13489,13677114,#,,,,,#,1,Redfield nutrients,17,,,#
17.25,1,Redfield nutrients,4854,3974117,#,,,,,#,1,Redfield nutrients,17.25,,,#
0,3,Redfield nutrients,155,86791,#,,,,,#,1,Redfield nutrients,17.5,,,#
1,3,Redfield nutrients,376,75936,#,,,,,#,5,Redfield nutrients,0,,,#
1.5,3,Redfield nutrients,335,491024,#,,,,,#,5,Redfield nutrients,1,,,#
2.25,3,Redfield nutrients,698,79555,#,,,,,#,5,Redfield nutrients,1.5,,,#
2.5,3,Redfield nutrients,729,393361,#,,,,,#,5,Redfield nutrients,2.25,,,#
2.75,3,Redfield nutrients,814,281879,#,,,,,#,5,Redfield nutrients,2.5,,,#
3,3,Redfield nutrients,1020,404098,#,,,,,#,5,Redfield nutrients,2.75,,,#
3.25,3,Redfield nutrients,1443,166393,#,,,,,#,5,Redfield nutrients,3,0,,#
3.5,3,Redfield nutrients,1501,397042,#,,,,,#,5,Redfield nutrients,3.25,,,#
3.75,3,Redfield nutrients,1957,516426,#,,,,,#,5,Redfield nutrients,3.5,,,#
4,3,Redfield nutrients,2141,293880,#,,,,,#,5,Redfield nutrients,3.75,,,#
4.25,3,Redfield nutrients,3186,198957,#,,,,,#,5,Redfield nutrients,4,0,,#
4.5,3,Redfield nutrients,3987,322823,#,,,,,#,5,Redfield nutrients,4.25,,,#
4.75,3,Redfield nutrients,5074,491666,#,,,,,#,5,Redfield nutrients,4.5,,,#
5,3,Redfield nutrients,4961,404098,#,,,,,#,5,Redfield nutrients,4.75,,,#
5.25,3,Redfield nutrients,6077,336451,#,,,,,#,5,Redfield nutrients,5,,,#
5.5,3,Redfield nutrients,6396,356229,#,,,,,#,5,Redfield nutrients,5.25,,,#
5.75,3,Redfield nutrients,7412,523494,#,,,,,#,5,Redfield nutrients,5.5,,,#
6,3,Redfield nutrients,5775,260831,#,,,,,#,5,Redfield nutrients,5.75,,,#
6.25,3,Redfield nutrients,9581,372633,#,,,,,#,5,Redfield nutrients,6,0,6.41,#
