Media,Experiment,Treatment,Initial Density Bin,Days of Incubation,E. huxleyi per mL,MCP qPCR standard plate,EhVs per mL (from MCP qPCR),% Sytox Positive,% Lysotracker Positive,% Elevated UVAutofluorescence Positive,Fv/Fm
SW,VI,Uninfected,to the second,2,294,K,9999,4.444444444,,1.111111111,0.312
SW,VI,Uninfected,to the second,2,248,K,9999,3.947368421,,3.947368421,0.307
SW,VI,Uninfected,to the third,2,3294,K,9999,1.669941061,,0.294695481,0.431
SW,VI,Uninfected,to the third,2,2886,K,9999,1.698754247,,0.113250283,0.431
SW,VI,Uninfected,to the third,2,2990,K,9999,2.18579235,,0.327868852,0.43
f/2,VI,10:1 Co-incubation,to the fourth,3,85156,N,9999,3.288100209,,0.130480167,0.453
f/2,VI,10:1 Co-incubation,to the fourth,3,88067,N,9999,2.851375221,,0.302800908,0.459
f/2,VI,10:1 Co-incubation,to the fourth,3,96089,N,9999,1.734505088,,0.208140611,0.459
f/2,VI,10:1 Co-incubation,to the second,3,1041,N,9999,4.62633452,,0.355871886,0.394
f/2,VI,10:1 Co-incubation,to the second,3,837,N,9999,4.867256637,,0.442477876,0.399
f/2,VI,10:1 Co-incubation,to the second,3,930,N,9999,1.992031873,,0.398406375,0.383
f/2,VI,10:1 Co-incubation,to the third,3,8367,N,9999,2.589641434,,0.398406375,0.456
f/2,VI,10:1 Co-incubation,to the third,3,8839,N,9999,4.211187932,,0.439974859,0.456
f/2,VI,10:1 Co-incubation,to the third,3,9250,N,9999,2.102102102,,0.42042042,0.456
f/2,VI,Preinfected,to the fourth,3,66857,N,9999,1.641025641,,0.615384615,0.465
f/2,VI,Preinfected,to the fourth,3,68137,N,9999,1.87856424,,1.44246897,0.459
f/2,VI,Preinfected,to the fourth,3,60391,N,9999,1.370384469,,0.570993529,0.465
f/2,VI,Preinfected,to the second,3,850,N,9999,1.793721973,,0.896860987,0.382
f/2,VI,Preinfected,to the second,3,903,N,9999,0.843881857,,0.421940928,0.38
f/2,VI,Preinfected,to the second,3,789,N,9999,1.45631068,,0.485436893,0.379
f/2,VI,Preinfected,to the third,3,7777,N,9999,2.277736958,,1.322556943,0.458
f/2,VI,Preinfected,to the third,3,7697,N,9999,3.266518189,,1.187824796,0.456
f/2,VI,Preinfected,to the third,3,6695,N,9999,1.716738197,,0.772532189,0.456
f/2,VI,Uninfected,to the fourth,3,107818,N,9999,2.086846543,,0.569139966,0.456
f/2,VI,Uninfected,to the fourth,3,103818,N,9999,1.882661996,,0.656742557,0.457
f/2,VI,Uninfected,to the fourth,3,101483,N,9999,1.527900797,,0.420726306,0.458
f/2,VI,Uninfected,to the second,3,1307,N,9999,1.449275362,,0.289855072,0.394
f/2,VI,Uninfected,to the second,3,1112,N,9999,3.367003367,,1.01010101,0.404
f/2,VI,Uninfected,to the third,3,11216,N,9999,1.823708207,,0.557244174,0.452
f/2,VI,Uninfected,to the third,3,11063,N,9999,1.643554186,,0.564971751,0.455
f/2,VI,Uninfected,to the third,3,10770,N,9999,2.399582681,,0.417318727,0.456
SW,VI,10:1 Co-incubation,to the fourth,3,64867,N,9999,1.74717369,,0.034258308,0.375
SW,VI,10:1 Co-incubation,to the fourth,3,58337,N,9999,1.771956857,,0.038520801,0.394
SW,VI,10:1 Co-incubation,to the fourth,3,61640,N,9999,2.624863288,,0.145825738,0.369
SW,VI,10:1 Co-incubation,to the second,3,493,N,9999,0.751879699,,0,0.27
SW,VI,10:1 Co-incubation,to the second,3,494,N,9999,1.515151515,,0.757575758,0.275
SW,VI,10:1 Co-incubation,to the second,3,539,N,9999,0,,0,0.268
SW,VI,10:1 Co-incubation,to the third,3,6056,N,9999,1.743119266,,0.183486239,0.329
SW,VI,10:1 Co-incubation,to the third,3,6545,N,9999,1.115879828,,0,0.383
SW,VI,10:1 Co-incubation,to the third,3,5202,N,9999,1.079913607,,0,0.377
SW,VI,Preinfected,to the fourth,3,51149,N,9999,1.393258427,,0.359550562,0.373
SW,VI,Preinfected,to the fourth,3,67471,N,9999,0.272572402,,1.533219761,0.381
SW,VI,Preinfected,to the fourth,3,62782,N,9999,0.915415599,,1.354815086,0.372
SW,VI,Preinfected,to the second,3,529,N,9999,0,,0,0.243
SW,VI,Preinfected,to the second,3,670,N,9999,1.142857143,,0.571428571,0.279
SW,VI,Preinfected,to the second,3,625,N,9999,0.613496933,,0.613496933,0.269
SW,VI,Preinfected,to the third,3,5103,N,9999,0.900900901,,0.225225225,0.335
SW,VI,Preinfected,to the third,3,6730,N,9999,0.683176772,,0.939368061,0.347
SW,VI,Preinfected,to the third,3,5845,N,9999,0.491642085,,0.491642085,0.346
SW,VI,Uninfected,to the fourth,3,72831,N,9999,1.388460352,,0.061709349,0.341
SW,VI,Uninfected,to the fourth,3,67578,N,9999,1.44689247,,0.098651759,0.472
SW,VI,Uninfected,to the fourth,3,62333,N,9999,2.210338681,,0.071301248,0.467
SW,VI,Uninfected,to the second,3,607,N,9999,1.851851852,,0.617283951,0.274
SW,VI,Uninfected,to the second,3,670,N,9999,2.209944751,,1.104972376,
SW,VI,Uninfected,to the second,3,604,N,9999,1.226993865,,0.613496933,0.278
SW,VI,Uninfected,to the third,3,6584,N,9999,0.938566553,,0.085324232,0.348
SW,VI,Uninfected,to the third,3,6811,N,9999,1.63132137,,0.244698206,0.345
SW,VI,Uninfected,to the third,3,6167,N,9999,0.990990991,,0,0.384
f/2,VI,10:1 Co-incubation,to the fourth,5,457543,N/L,576473755,4.546966313,,0.565401245,0.415
f/2,VI,10:1 Co-incubation,to the fourth,5,531348,N/L,9999,3.121675804,,0.454136323,0.432
f/2,VI,10:1 Co-incubation,to the fourth,5,466891,N/L,23604322,5.210224892,,0.675140848,0.407
f/2,VI,10:1 Co-incubation,to the second,5,5755,N/L,9999,3.305004721,,0.377714825,0.449
f/2,VI,10:1 Co-incubation,to the second,5,5565,N/L,9999,2.5390625,,0.9765625,0.443
f/2,VI,10:1 Co-incubation,to the second,5,4804,N/L,9999,1.470588235,,0.113122172,0.446
f/2,VI,10:1 Co-incubation,to the third,5,51054,N/L,9999,2.001277411,,0.255482223,0.467
f/2,VI,10:1 Co-incubation,to the third,5,55076,N/L,9999,3.059009276,,0.217090981,0.461
f/2,VI,10:1 Co-incubation,to the third,5,49446,N/L,9999,2.637942405,,0.307759947,0.465
f/2,VI,Preinfected,to the fourth,5,195632,N/L,398150396,5.922444183,,2.162162162,0.374
f/2,VI,Preinfected,to the fourth,5,169793,N/L,994290894,10.77714595,,3.912808015,0.329
f/2,VI,Preinfected,to the fourth,5,148897,N/L,15618089,10.5758839,,4.647213216,0.326
f/2,VI,Preinfected,to the second,5,5172,N/L,9999,1.444444444,,0.333333333,0.454
f/2,VI,Preinfected,to the second,5,4983,N/L,9999,2.191464821,,0.576701269,0.451
f/2,VI,Preinfected,to the second,5,4592,N/L,9999,1.752190238,,0.750938673,0.457
f/2,VI,Preinfected,to the third,5,44092,N/L,9999,1.53806048,,0.495307612,0.469
f/2,VI,Preinfected,to the third,5,45575,N/L,9999,1.992433796,,0.353089533,0.459
f/2,VI,Preinfected,to the third,5,40862,N/L,9999,2.109704641,,0.787623066,0.446
f/2,VI,Uninfected,to the fourth,5,674043,N/L,9999,1.560988196,,0.428949236,0.441
f/2,VI,Uninfected,to the fourth,5,709217,N/L,9999,1.62150564,,0.511893085,0.459
f/2,VI,Uninfected,to the fourth,5,729196,N/L,9999,1.117967981,,0.390543482,0.457
f/2,VI,Uninfected,to the second,5,6397,N/L,9999,1.869158879,,0.509770603,0.45
f/2,VI,Uninfected,to the second,5,7630,N/L,9999,2.207977208,,0.213675214,0.442
f/2,VI,Uninfected,to the second,5,6277,N/L,9999,2.164502165,,0.346320346,0.447
f/2,VI,Uninfected,to the third,5,66087,N/L,9999,1.891447368,,0.296052632,0.462
f/2,VI,Uninfected,to the third,5,67250,N/L,9999,2.101179893,,0.727331502,0.46
f/2,VI,Uninfected,to the third,5,63185,N/L,9999,2.133149837,,0.378462068,0.464
SW,VI,10:1 Co-incubation,to the fourth,5,177802,N/L,31384992,1.878862794,,0.160692213,0.353
SW,VI,10:1 Co-incubation,to the fourth,5,178066,N/L,250969097,2.962231548,,0.234509998,0.346
SW,VI,10:1 Co-incubation,to the fourth,5,166989,N/L,9999,3.31666228,,0.184259016,0.328
SW,VI,10:1 Co-incubation,to the second,5,2060,N/L,9999,0.533333333,,0,0.167
SW,VI,10:1 Co-incubation,to the second,5,1786,N/L,9999,1.230769231,,0,0.171
SW,VI,10:1 Co-incubation,to the second,5,1753,N/L,9999,2.821316614,,0.313479624,0.158
SW,VI,10:1 Co-incubation,to the third,5,20055,N/L,9999,1.589041096,,0.219178082,0.192
SW,VI,10:1 Co-incubation,to the third,5,19626,N/L,9999,1.511758119,,0,0.193
SW,VI,10:1 Co-incubation,to the third,5,18396,N/L,9999,1.732377539,,0.059737157,0.193
SW,VI,Preinfected,to the fourth,5,65467,N/L,26228060,17.1418873,,7.875084861,0.208
SW,VI,Preinfected,to the fourth,5,76422,N/L,34981866,13.75399826,,7.938354173,0.194
SW,VI,Preinfected,to the fourth,5,63933,N/L,4090529955,18.83906847,,10.98366354,0.198
SW,VI,Preinfected,to the second,5,1806,N/L,9999,1.846153846,,0.615384615,0.186
SW,VI,Preinfected,to the second,5,1989,N/L,9999,0.558659218,,0.837988827,0.193
SW,VI,Preinfected,to the second,5,2033,N/L,9999,2.18579235,,0.273224044,0.222
SW,VI,Preinfected,to the third,5,17222,N/L,9999,1.612903226,,0.580645161,0.237
SW,VI,Preinfected,to the third,5,17533,N/L,9999,0.633713561,,0.950570342,0.266
SW,VI,Preinfected,to the third,5,15333,N/L,9999,0.869565217,,0.362318841,0.244
SW,VI,Uninfected,to the fourth,5,265370,N/L,9999,0.270336692,,0.065536168,0.413
SW,VI,Uninfected,to the fourth,5,234674,N/L,9999,0.574339972,,0.083371931,0.458
SW,VI,Uninfected,to the fourth,5,245696,N/L,9999,0.389311626,,0.159263847,0.448
SW,VI,Uninfected,to the second,5,2413,N/L,9999,1.351351351,,0.225225225,0.178
SW,VI,Uninfected,to the second,5,2418,N/L,9999,0.674157303,,0,0.202
SW,VI,Uninfected,to the second,5,2038,N/L,9999,0.8,,0.266666667,0.168
SW,VI,Uninfected,to the third,5,22848,N/L,9999,1.141769743,,0.380589914,0.218
SW,VI,Uninfected,to the third,5,23402,N/L,9999,1.857872736,,0.185787274,0.21
SW,VI,Uninfected,to the third,5,21228,N/L,9999,1.331285202,,0.204813108,0.199
f/2,VI,10:1 Co-incubation,to the fourth,7,36814,L,142997881,57.36351531,,54.32756325,0.1
f/2,VI,10:1 Co-incubation,to the fourth,7,66765,L,635257110,51.30690162,,44.87518355,0.074
f/2,VI,10:1 Co-incubation,to the fourth,7,33814,L,962977276,57.08901131,,57.26297478,0.093
f/2,VI,10:1 Co-incubation,to the second,7,30706,L,9999,2.937420179,,5.906768838,0.457
f/2,VI,10:1 Co-incubation,to the second,7,33206,L,9999,3.454384411,,6.643046944,0.443
f/2,VI,10:1 Co-incubation,to the second,7,26392,L,9999,3.640416048,,3.417533432,0.456
f/2,VI,10:1 Co-incubation,to the third,7,301941,L,9999,2.545619845,,4.8282356,0.445
f/2,VI,10:1 Co-incubation,to the third,7,335667,L,9999,2.351188738,,5.251474969,0.433
f/2,VI,10:1 Co-incubation,to the third,7,306735,L,9999,3.519033464,,4.404385208,0.44
f/2,VI,Preinfected,to the fourth,7,15886,L,11936845,56.35491607,,72.00239808,0.186
f/2,VI,Preinfected,to the fourth,7,12390,L,65080816,57.87855496,,76.01844735,0.186
f/2,VI,Preinfected,to the fourth,7,12248,L,118774865,58.70917574,,76.7496112,0.189
f/2,VI,Preinfected,to the second,7,25133,L,9999,2.482000758,,6.934444865,0.471
f/2,VI,Preinfected,to the second,7,25638,L,9999,2.526002972,,6.779346211,0.459
f/2,VI,Preinfected,to the second,7,23538,L,9999,3.196439409,,2.913210601,0.467
f/2,VI,Preinfected,to the third,7,175733,L,9999,2.411662692,,12.58400173,0.466
f/2,VI,Preinfected,to the third,7,183457,L,2134068,1.915589472,,14.48891658,0.459
f/2,VI,Preinfected,to the third,7,164943,L,9999,2.84081067,,7.477337029,0.461
f/2,VI,Uninfected,to the fourth,7,2484686,L,9999,0.781932754,,1.448875397,0.457
f/2,VI,Uninfected,to the fourth,7,1770514,L,9999,1.00697134,,1.516911955,0.457
f/2,VI,Uninfected,to the fourth,7,2648800,L,9999,0.901756051,,1.639556457,0.457
f/2,VI,Uninfected,to the second,7,37457,L,9999,2.873124841,,4.805491991,0.469
f/2,VI,Uninfected,to the second,7,45543,L,9999,2.530322041,,6.043496445,0.461
f/2,VI,Uninfected,to the second,7,37210,L,9999,2.354747888,,3.685692347,0.464
f/2,VI,Uninfected,to the third,7,405200,L,9999,2.340995628,,4.174305458,0.46
f/2,VI,Uninfected,to the third,7,378229,L,9999,1.797854661,,6.012992899,0.458
f/2,VI,Uninfected,to the third,7,327771,L,9999,1.847977685,,4.829149233,0.461
SW,VI,10:1 Co-incubation,to the fourth,7,87590,L,289116527,12.81939763,,9.742307274,0.042
SW,VI,10:1 Co-incubation,to the fourth,7,85476,L,25894480,12.63509749,,11.27576602,0.051
SW,VI,10:1 Co-incubation,to the fourth,7,73838,L,105175440,15.19411841,,12.66606475,0.026
SW,VI,10:1 Co-incubation,to the second,7,2346,L,965055,0.811907984,,0.676589986,0.088
SW,VI,10:1 Co-incubation,to the second,7,2502,L,9999,0.888324873,,2.538071066,0.094
SW,VI,10:1 Co-incubation,to the second,7,1981,L,9999,1.923076923,,2.243589744,0.082
SW,VI,10:1 Co-incubation,to the third,7,23914,L,9999,1.513341298,,1.951413779,0.111
SW,VI,10:1 Co-incubation,to the third,7,25229,L,9999,0.981502454,,2.227255568,
SW,VI,10:1 Co-incubation,to the third,7,25829,L,9999,1.364306785,,2.249262537,0.109
SW,VI,Preinfected,to the fourth,7,7770,L,9999,46.49842271,,71.35646688,0.208
SW,VI,Preinfected,to the fourth,7,9176,L,6540606,43.37606838,,66.93376068,0.208
SW,VI,Preinfected,to the fourth,7,8691,L,14188472,45.79808235,,70.67117879,0.204
SW,VI,Preinfected,to the second,7,1833,L,9999,1.604278075,,6.417112299,0.16
SW,VI,Preinfected,to the second,7,2703,L,9999,1.088270859,,5.320435308,
SW,VI,Preinfected,to the second,7,2461,L,9999,1.726427623,,4.11686587,0.115
SW,VI,Preinfected,to the third,7,9181,L,9999,5.018686599,,14.68232782,0.275
SW,VI,Preinfected,to the third,7,10652,L,9999,3.129314312,,16.56695812,
SW,VI,Preinfected,to the third,7,8137,L,9999,5.78313253,,17.28915663,0.284
SW,VI,Uninfected,to the fourth,7,314784,L,9999,0.193098293,,0.323906815,0.482
SW,VI,Uninfected,to the fourth,7,284314,L,9999,0.262068966,,0.268965517,0.51
SW,VI,Uninfected,to the second,7,3255,L,9999,0.401606426,,2.208835341,0.108
SW,VI,Uninfected,to the second,7,4755,L,9999,0.824742268,,1.443298969,
SW,VI,Uninfected,to the second,7,2690,L,9999,0.729040097,,1.215066829,0.091
SW,VI,Uninfected,to the third,7,36922,L,9999,1.327668614,,2.44291025,0.137
SW,VI,Uninfected,to the third,7,33451,L,9999,1.289566237,,2.344665885,0.126
SW,VI,Uninfected,to the third,7,30294,L,9999,0.970873786,,2.071197411,0.112
f/2,VI,10:1 Co-incubation,to the fourth,9,2636,A,469810684,51.95035461,,31.02836879,0.086
f/2,VI,10:1 Co-incubation,to the fourth,9,3276,A,3945495447,51.06990014,,34.52211127,0.129
f/2,VI,10:1 Co-incubation,to the fourth,9,2262,A,6050098392,48.34710744,,30.5785124,0.146
f/2,VI,10:1 Co-incubation,to the second,9,174336,A,9999,3.570279833,,0.450305564,0.457
f/2,VI,10:1 Co-incubation,to the second,9,159869,A,9999,4.279200281,,0.561206594,0.448
f/2,VI,10:1 Co-incubation,to the second,9,121794,A,9999,4.419889503,,0.276243094,0.46
f/2,VI,10:1 Co-incubation,to the third,9,1492486,A,2625653,1.96122633,,0.510970845,0.44
f/2,VI,10:1 Co-incubation,to the third,9,1330206,A,2171308,2.411263806,,0.522721524,0.427
f/2,VI,10:1 Co-incubation,to the third,9,1200673,A,9999,2.335139174,,0.467027835,
f/2,VI,Preinfected,to the fourth,9,3670,A,63900668,47.13896458,,42.91553134,0.138
f/2,VI,Preinfected,to the fourth,9,2815,A,131542476,42.80639432,,42.80639432,0.177
f/2,VI,Preinfected,to the fourth,9,2710,A,686996923,50.73800738,,46.3099631,0.161
f/2,VI,Preinfected,to the second,9,134350,A,9999,3.580200968,,0.759211016,0.458
f/2,VI,Preinfected,to the second,9,164360,A,9999,3.121197372,,0.498904843,0.449
f/2,VI,Preinfected,to the second,9,137230,A,9999,3.075129345,,0.364351818,0.463
f/2,VI,Preinfected,to the third,9,98620,A,1953406038,35.93591564,,21.63861286,0.129
f/2,VI,Preinfected,to the third,9,75980,A,5714887060,41.24769676,,25.74361674,0.165
f/2,VI,Preinfected,to the third,9,124220,A,11764358976,30.4620834,,11.41523104,0.137
f/2,VI,Uninfected,to the fourth,9,4739560,A,9999,1.328656709,,0.596966389,0.408
f/2,VI,Uninfected,to the fourth,9,3129468,A,9999,2.694716105,,0.8020826,0.405
f/2,VI,Uninfected,to the fourth,9,3369578,A,9999,2.091024929,,0.944228444,0.416
f/2,VI,Uninfected,to the second,9,166734,A,9999,3.796632552,,0.495212942,0.454
f/2,VI,Uninfected,to the second,9,217817,A,9999,3.790750569,,0.328531716,0.448
f/2,VI,Uninfected,to the second,9,163211,A,9999,4.047217538,,0.674536256,0.458
f/2,VI,Uninfected,to the third,9,1388147,A,9999,1.966849076,,0.777222619,0.453
f/2,VI,Uninfected,to the third,9,1367450,A,9999,2.761452379,,0.861444328,0.453
f/2,VI,Uninfected,to the third,9,1284550,A,9999,2.596846075,,0.968460747,0.459
SW,VI,10:1 Co-incubation,to the fourth,9,9592,A,205578882,36.79149798,,21.86234818,0.041
SW,VI,10:1 Co-incubation,to the fourth,9,10752,A,41672016,33.09255079,,22.66365688,0.03
SW,VI,10:1 Co-incubation,to the fourth,9,9350,A,39738870,36.08515057,,24.66251298,0.036
SW,VI,10:1 Co-incubation,to the second,9,3087,A,151879,3.93081761,,0.157232704,0.131
SW,VI,10:1 Co-incubation,to the second,9,2612,A,9999,3.345724907,,0.371747212,0.132
SW,VI,10:1 Co-incubation,to the second,9,1942,A,9999,5.25,,0,0.138
SW,VI,10:1 Co-incubation,to the third,9,21592,A,215850,4.541366906,,0.854316547,0.226
SW,VI,10:1 Co-incubation,to the third,9,19379,A,9999,3.957915832,,0.250501002,0.229
SW,VI,10:1 Co-incubation,to the third,9,23117,A,9999,4.241915162,,0.16799664,0.178
SW,VI,Preinfected,to the fourth,9,2986,A,9999,36.0446571,,27.91068581,0.209
SW,VI,Preinfected,to the fourth,9,2995,A,5776684,27.34499205,,23.37042925,0.166
SW,VI,Preinfected,to the fourth,9,3043,A,15812959,31.14241002,,21.59624413,0.167
SW,VI,Preinfected,to the second,9,552,A,9999,10.34482759,,1.724137931,0.258
SW,VI,Preinfected,to the second,9,1652,A,9999,4.610951009,,1.44092219,0.16
SW,VI,Preinfected,to the second,9,1952,A,9999,2.43902439,,0.243902439,
SW,VI,Preinfected,to the third,9,3043,A,9999,9.546165884,,5.79029734,0.225
SW,VI,Preinfected,to the third,9,3229,A,9999,5.162241888,,2.212389381,0.221
SW,VI,Preinfected,to the third,9,3295,A,9999,7.947976879,,1.589595376,0.211
SW,VI,Uninfected,to the fourth,9,320168,A,9999,0.40866367,,0.140113258,0.482
SW,VI,Uninfected,to the second,9,3537,A,9999,3.5667107,,0.396301189,0.133
SW,VI,Uninfected,to the second,9,7467,A,9999,3.37922403,,0.187734668,0.18
SW,VI,Uninfected,to the second,9,2220,A,9999,4,,0.210526316,
SW,VI,Uninfected,to the third,9,51888,A,9999,3.134005764,,0.252161383,0.154
SW,VI,Uninfected,to the third,9,40486,A,9999,4.247460757,,0.415512465,0.167
SW,VI,Uninfected,to the third,9,35869,A,9999,5.054715998,,0.416883794,0.184
f/2,VI,10:1 Co-incubation,to the fourth,11,625,A/B,82585144,43.33333333,,52.22222222,0.074
f/2,VI,10:1 Co-incubation,to the fourth,11,861,A/B,9999,42.33870968,,60.08064516,0.148
f/2,VI,10:1 Co-incubation,to the fourth,11,535,A/B,846685922,37.66233766,,64.93506494,0.126
f/2,VI,10:1 Co-incubation,to the second,11,780625,A/B,9999,2.59407526,,1.457165733,0.447
f/2,VI,10:1 Co-incubation,to the second,11,682375,A/B,9999,2.912621359,,1.630335226,0.446
f/2,VI,10:1 Co-incubation,to the second,11,573375,A/B,9999,2.354480052,,1.220841509,0.439
f/2,VI,10:1 Co-incubation,to the third,11,621125,A/B,16404809188,15.55644999,,6.37955323,0.037
f/2,VI,10:1 Co-incubation,to the third,11,492625,A/B,9999,23.26820604,,9.540725704,0.043
f/2,VI,10:1 Co-incubation,to the third,11,3710875,A/B,63296486,1.12507158,,0.845487924,0.434
f/2,VI,Preinfected,to the fourth,11,1306,A/B,70304079,41.4893617,,40.95744681,0.132
f/2,VI,Preinfected,to the fourth,11,903,A/B,118549407,40,,44.23076923,0.2
f/2,VI,Preinfected,to the fourth,11,795,A/B,16590493,49.78165939,,52.40174672,0.175
f/2,VI,Preinfected,to the second,11,507125,A/B,32878857,3.376879468,,3.019472517,0.438
f/2,VI,Preinfected,to the second,11,606188,A/B,475128,2.361068151,,2.123930302,0.447
f/2,VI,Preinfected,to the second,11,548625,A/B,1572757,3.998632946,,1.856915015,0.456
f/2,VI,Preinfected,to the third,11,7115,A/B,253491379,52.56222548,,56.95461201,0.172
f/2,VI,Preinfected,to the third,11,8101,A/B,439804282,50.40720103,,60.00857265,0.18
f/2,VI,Preinfected,to the third,11,8521,A/B,73027042,50.81499593,,55.21597392,0.178
f/2,VI,Uninfected,to the fourth,11,7362062,A/B,9999,0.804906738,,0.658712821,0.413
f/2,VI,Uninfected,to the fourth,11,4896619,A/B,9999,0.876683257,,0.550769309,0.417
f/2,VI,Uninfected,to the fourth,11,4794433,A/B,9999,0.990839892,,0.676041801,0.409
f/2,VI,Uninfected,to the second,11,1042639,A/B,9999,1.672994779,,0.806834362,0.453
f/2,VI,Uninfected,to the second,11,824289,A/B,9999,1.831007054,,0.870478763,0.44
f/2,VI,Uninfected,to the second,11,690433,A/B,9999,1.881383265,,0.752553306,0.445
f/2,VI,Uninfected,to the third,11,3099711,A/B,9999,2.063378033,,0.854086845,0.446
f/2,VI,Uninfected,to the third,11,3335753,A/B,9999,1.290609702,,0.749147011,0.446
f/2,VI,Uninfected,to the third,11,2825814,A/B,9999,1.238945802,,0.582260748,0.453
SW,VI,10:1 Co-incubation,to the fourth,11,1451,A/B,43286024,26.55502392,,51.67464115,0.125
SW,VI,10:1 Co-incubation,to the fourth,11,1267,A/B,584542689,29.5890411,,45.20547945,0.053
SW,VI,10:1 Co-incubation,to the fourth,11,1361,A/B,9999,32.65306122,,43.62244898,0.082
SW,VI,10:1 Co-incubation,to the second,11,3059,A/B,9999,3.632236095,,2.383654938,0.117
SW,VI,10:1 Co-incubation,to the second,11,1694,A/B,9999,3.073770492,,1.844262295,0.203
SW,VI,10:1 Co-incubation,to the second,11,1122,A/B,9999,3.095975232,,2.786377709,0.151
SW,VI,10:1 Co-incubation,to the third,11,5139,A/B,343809,10.94594595,,10.40540541,0.299
SW,VI,10:1 Co-incubation,to the third,11,4028,A/B,9999,7.844827586,,9.051724138,0.294
SW,VI,10:1 Co-incubation,to the third,11,5170,A/B,9999,7.857622565,,8.999328408,0.262
SW,VI,Preinfected,to the fourth,11,1837,A/B,1514113,20.98298677,,30.81285444,0.146
SW,VI,Preinfected,to the fourth,11,1517,A/B,19131378,22.19679634,,32.72311213,0.106
SW,VI,Preinfected,to the fourth,11,1497,A/B,9932675,26.21809745,,39.21113689,0.114
SW,VI,Preinfected,to the second,11,278,A/B,9999,12.5,,12.5,0.195
SW,VI,Preinfected,to the second,11,701,A/B,9999,4.455445545,,7.425742574,0.261
SW,VI,Preinfected,to the second,11,740,A/B,9999,6.572769953,,9.389671362,0.223
SW,VI,Preinfected,to the third,11,3358,A/B,9999,5.687693899,,7.755946225,0.208
SW,VI,Preinfected,to the third,11,2569,A/B,9999,7.702702703,,13.37837838,
SW,VI,Preinfected,to the third,11,2556,A/B,9999,7.608695652,,12.22826087,0.208
SW,VI,Uninfected,to the fourth,11,286500,A/B,9999,0.479930192,,0.17452007,0.445
SW,VI,Uninfected,to the second,11,4149,A/B,9999,1.757322176,,3.09623431,0.157
SW,VI,Uninfected,to the second,11,12500,A/B,9999,1.25,,0.444444444,0.168
SW,VI,Uninfected,to the second,11,2601,A/B,9999,1.335113485,,3.337783712,0.153
SW,VI,Uninfected,to the third,11,72250,A/B,9999,1.095732411,,1.369665513,0.138
SW,VI,Uninfected,to the third,11,57583,A/B,9999,1.392908828,,2.33357453,0.154
SW,VI,Uninfected,to the third,11,49792,A/B,9999,2.133891213,,2.928870293,
f/2,VI,10:1 Co-incubation,to the fourth,14,122,B,72336570,40,,57.14285714,0.061
f/2,VI,10:1 Co-incubation,to the fourth,14,288,B,318406801,32.53012048,,43.37349398,0.213
f/2,VI,10:1 Co-incubation,to the fourth,14,229,B,643119024,25.75757576,,30.3030303,0.168
f/2,VI,10:1 Co-incubation,to the second,14,3847125,B,9999,1.137212854,,1.683075024,0.438
f/2,VI,10:1 Co-incubation,to the second,14,3871375,B,9999,0.791062607,,1.026766976,0.549
f/2,VI,10:1 Co-incubation,to the second,14,3618375,B,9999,1.247106781,,0.735827547,0.443
f/2,VI,10:1 Co-incubation,to the third,14,6292,B,91728196,47.73730684,,60.09933775,0.115
f/2,VI,10:1 Co-incubation,to the third,14,4740,B,1034144521,46.52014652,,53.77289377,0.104
f/2,VI,10:1 Co-incubation,to the third,14,97646,B,888318024,25.19735438,,16.96180926,0.097
f/2,VI,Preinfected,to the fourth,14,370,B,6176982,37,,56,0.16
f/2,VI,Preinfected,to the fourth,14,441,B,22484582,31.93277311,,59.66386555,0.186
f/2,VI,Preinfected,to the fourth,14,270,B,92603766,42.46575342,,79.45205479,0.172
f/2,VI,Preinfected,to the second,14,39393,B,81071365,47.79052275,,71.18277548,0.263
f/2,VI,Preinfected,to the second,14,64474,B,1094803106,53.33180147,,84.82306985,0.231
f/2,VI,Preinfected,to the second,14,15915,B,1205422,44.00744706,,80.70747033,0.201
f/2,VI,Preinfected,to the third,14,1507,B,18418025,48.64864865,,62.40786241,0.108
f/2,VI,Preinfected,to the third,14,2030,B,107805623,37.95620438,,65.1459854,
f/2,VI,Preinfected,to the third,14,1970,B,211627957,33.27067669,,70.4887218,0.115
f/2,VI,Uninfected,to the fourth,14,9115742,B,9999,0.806828315,,1.486262686,0.313
f/2,VI,Uninfected,to the fourth,14,6264000,B,9999,0.632389898,,1.481069501,0.312
f/2,VI,Uninfected,to the fourth,14,5959871,B,9999,0.718785858,,1.820779839,0.351
f/2,VI,Uninfected,to the second,14,2205290,B,9999,2.357966181,,3.569129951,0.277
f/2,VI,Uninfected,to the second,14,2561419,B,9999,1.803435595,,2.418014206,0.377
f/2,VI,Uninfected,to the second,14,2594839,B,9999,2.317255097,,2.441571358,0.334
f/2,VI,Uninfected,to the third,14,4953806,B,9999,0.664200875,,1.59668681,0.334
f/2,VI,Uninfected,to the third,14,4230968,B,9999,1.055199756,,1.503507167,0.345
SW,VI,10:1 Co-incubation,to the fourth,14,131,B,108834656,15.78947368,,18.42105263,0.167
SW,VI,10:1 Co-incubation,to the fourth,14,82,B,5564070,16.66666667,,20.83333333,0.079
SW,VI,10:1 Co-incubation,to the fourth,14,107,B,4964586,19.35483871,,22.58064516,0.045
